4.477330e-001	5.190076e-007	---
4.477553e-001	5.190127e-007	---
4.477776e-001	5.190178e-007	---
4.477999e-001	5.190228e-007	---
4.478222e-001	5.190279e-007	---
4.478445e-001	5.190330e-007	---
4.478668e-001	5.190380e-007	---
4.478890e-001	5.190431e-007	---
4.479113e-001	5.190482e-007	---
4.479336e-001	5.190533e-007	---
4.479559e-001	5.190583e-007	---
4.479782e-001	5.190634e-007	---
4.480005e-001	5.190685e-007	---
4.480228e-001	5.190735e-007	---
4.480451e-001	5.190786e-007	---
4.480673e-001	5.190837e-007	---
4.480896e-001	5.190887e-007	---
4.481119e-001	5.190938e-007	---
4.481342e-001	5.190989e-007	---
4.481565e-001	5.191039e-007	---
4.481788e-001	5.191090e-007	---
4.482011e-001	5.191141e-007	---
4.482234e-001	5.191191e-007	---
4.482456e-001	5.191242e-007	---
4.482679e-001	5.191293e-007	---
4.482902e-001	5.191343e-007	---
4.483125e-001	5.191394e-007	---
4.483348e-001	5.191445e-007	---
4.483571e-001	5.191495e-007	---
4.483794e-001	5.191546e-007	---
4.484016e-001	5.191597e-007	---
4.484239e-001	5.191648e-007	---
4.484462e-001	5.191698e-007	---
4.484685e-001	5.191749e-007	---
4.484908e-001	5.191800e-007	---
4.485131e-001	5.191850e-007	---
4.485354e-001	5.191901e-007	---
4.485577e-001	5.191952e-007	---
4.485799e-001	5.192002e-007	---
4.486022e-001	5.192053e-007	---
4.486245e-001	5.192104e-007	---
4.486468e-001	5.192154e-007	---
4.486691e-001	5.192205e-007	---
4.486914e-001	5.192256e-007	---
4.487137e-001	5.192306e-007	---
4.487360e-001	5.192357e-007	---
4.487582e-001	5.192408e-007	---
4.487805e-001	5.192458e-007	---
4.488028e-001	5.192509e-007	---
4.488251e-001	5.192560e-007	---
4.488474e-001	5.192610e-007	---
4.488697e-001	5.192661e-007	---
4.488920e-001	5.192712e-007	---
4.489142e-001	5.192763e-007	---
4.489365e-001	5.192813e-007	---
4.489588e-001	5.192864e-007	---
4.489811e-001	5.192915e-007	---
4.490034e-001	5.192965e-007	---
4.490257e-001	5.193016e-007	---
4.490480e-001	5.193067e-007	---
4.490703e-001	5.193117e-007	---
4.490925e-001	5.193168e-007	---
4.491148e-001	5.193219e-007	---
4.491371e-001	5.193269e-007	---
4.491594e-001	5.193320e-007	---
4.491817e-001	5.193371e-007	---
4.492040e-001	5.193421e-007	---
4.492263e-001	5.193472e-007	---
4.492486e-001	5.193523e-007	---
4.492708e-001	5.193573e-007	---
4.492931e-001	5.193624e-007	---
4.493154e-001	5.193675e-007	---
4.493377e-001	5.193725e-007	---
4.493600e-001	5.193776e-007	---
4.493823e-001	5.193827e-007	---
4.494046e-001	5.193878e-007	---
4.494268e-001	5.193928e-007	---
4.494491e-001	5.193979e-007	---
4.494714e-001	5.194030e-007	---
4.494937e-001	5.194080e-007	---
4.495160e-001	5.194131e-007	---
4.495383e-001	5.194182e-007	---
4.495606e-001	5.194232e-007	---
4.495829e-001	5.194283e-007	---
4.496051e-001	5.194334e-007	---
4.496274e-001	5.194384e-007	---
4.496497e-001	5.194435e-007	---
4.496720e-001	5.194486e-007	---
4.496943e-001	5.194536e-007	---
4.497166e-001	5.194587e-007	---
4.497389e-001	5.194638e-007	---
4.497612e-001	5.194688e-007	---
4.497834e-001	5.194739e-007	---
4.498057e-001	5.194790e-007	---
4.498280e-001	5.194840e-007	---
4.498503e-001	5.194891e-007	---
4.498726e-001	5.194942e-007	---
4.498949e-001	5.194993e-007	---
4.499172e-001	5.195043e-007	---
4.499395e-001	5.195094e-007	---
4.499617e-001	5.195145e-007	---
4.499840e-001	5.195195e-007	---
4.500063e-001	5.195246e-007	---
4.500286e-001	5.195297e-007	---
4.500509e-001	5.195347e-007	---
4.500732e-001	5.195398e-007	---
4.500955e-001	5.195449e-007	---
4.501177e-001	5.195499e-007	---
4.501400e-001	5.195550e-007	---
4.501623e-001	5.195601e-007	---
4.501846e-001	5.195651e-007	---
4.502069e-001	5.195702e-007	---
4.502292e-001	5.195753e-007	---
4.502515e-001	5.195803e-007	---
4.502738e-001	5.195854e-007	---
4.502960e-001	5.195905e-007	---
4.503183e-001	5.195956e-007	---
4.503406e-001	5.196006e-007	---
4.503629e-001	5.196057e-007	---
4.503852e-001	5.196108e-007	---
4.504075e-001	5.196158e-007	---
4.504298e-001	5.196209e-007	---
4.504521e-001	5.196260e-007	---
4.504743e-001	5.196310e-007	---
4.504966e-001	5.196361e-007	---
4.505189e-001	5.196412e-007	---
4.505412e-001	5.196462e-007	---
4.505635e-001	5.196513e-007	---
4.505858e-001	5.196564e-007	---
4.506081e-001	5.196614e-007	---
4.506303e-001	5.196665e-007	---
4.506526e-001	5.196716e-007	---
4.506749e-001	5.196766e-007	---
4.506972e-001	5.196817e-007	---
4.507195e-001	5.196868e-007	---
4.507418e-001	5.196918e-007	---
4.507641e-001	5.196969e-007	---
4.507864e-001	5.197020e-007	---
4.508086e-001	5.197071e-007	---
4.508309e-001	5.197121e-007	---
4.508532e-001	5.197172e-007	---
4.508755e-001	5.197223e-007	---
4.508978e-001	5.197273e-007	---
